2026-05-06 15:19:37 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看预约列表 | Details: 获取了 1 个预约，偏移量: 0, 限制: 100，仅查看自己的预约
2026-05-06 15:19:37 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看借用列表 | Details: 获取了 0 个借用记录，偏移量: 0, 限制: 100，仅查看自己的借用
2026-05-06 15:19:42 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看预约列表 | Details: 获取了 1 个预约，偏移量: 0, 限制: 100，仅查看自己的预约
2026-05-06 15:19:47 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看借用列表 | Details: 获取了 1 个借用记录，偏移量: 0, 限制: 100，仅查看自己的借用
2026-05-06 15:19:49 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看今日预约 | Details: 查看了 1 个今日预约
2026-05-06 15:19:49 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看预约列表 | Details: 获取了 1 个预约，偏移量: 0, 限制: 100，仅查看自己的预约
2026-05-06 15:19:49 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看借用列表 | Details: 获取了 0 个借用记录，偏移量: 0, 限制: 100，仅查看自己的借用
2026-05-06 15:20:27 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看借用列表 | Details: 获取了 1 个借用记录，偏移量: 0, 限制: 100，仅查看自己的借用
2026-05-06 15:20:38 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 创建借用 | Details: 借用ID: 2, 物品: 投影仪, 数量: 1, 归还日期: 2026-05-13 15:20:33
2026-05-06 15:20:42 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看借用列表 | Details: 获取了 2 个借用记录，偏移量: 0, 限制: 100，仅查看自己的借用
2026-05-06 15:20:44 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看今日预约 | Details: 查看了 1 个今日预约
2026-05-06 15:20:44 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看预约列表 | Details: 获取了 1 个预约，偏移量: 0, 限制: 100，仅查看自己的预约
2026-05-06 15:20:44 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看借用列表 | Details: 获取了 1 个借用记录，偏移量: 0, 限制: 100，仅查看自己的借用
2026-05-06 15:21:13 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看预约列表 | Details: 获取了 1 个预约，偏移量: 0, 限制: 100，仅查看自己的预约
2026-05-06 15:21:15 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看借用列表 | Details: 获取了 2 个借用记录，偏移量: 0, 限制: 100，仅查看自己的借用
2026-05-06 15:24:35 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看今日预约 | Details: 查看了 1 个今日预约
2026-05-06 15:24:36 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看预约列表 | Details: 获取了 1 个预约，偏移量: 0, 限制: 100，仅查看自己的预约
2026-05-06 15:24:36 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看借用列表 | Details: 获取了 1 个借用记录，偏移量: 0, 限制: 100，仅查看自己的借用
2026-05-06 15:24:50 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-05-06 15:24:50 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看今日预约 | Details: 查看了 1 个今日预约
2026-05-06 15:24:50 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看预约列表 | Details: 获取了 3 个预约，偏移量: 0, 限制: 100，查看所有预约
2026-05-06 15:24:50 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看借用列表 | Details: 获取了 1 个借用记录，偏移量: 0, 限制: 100，查看所有借用
2026-05-06 15:24:59 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看组织列表 | Details: 获取了 1 个组织，偏移量: 0, 限制: 100
2026-05-06 15:24:59 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看用户列表 | Details: 获取了 2 个用户，偏移量: 0, 限制: 100
2026-05-06 15:25:00 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志类型 | Details: 获取可用日志类型: ['action', 'error', 'access']
2026-05-06 15:25:00 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 108, 页码: 0, 页大小: 20
2026-05-06 15:25:36 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 109, 页码: 0, 页大小: 20
2026-05-06 15:25:38 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 110, 页码: 0, 页大小: 20
2026-05-06 15:25:39 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 111, 页码: 0, 页大小: 20
2026-05-06 15:25:41 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 112, 页码: 0, 页大小: 20
2026-05-06 15:25:43 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 113, 页码: 5, 页大小: 20
2026-05-06 15:25:46 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 114, 页码: 5, 页大小: 20
2026-05-06 15:25:47 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 115, 页码: 5, 页大小: 20
2026-05-06 15:25:49 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 116, 页码: 5, 页大小: 20
2026-05-06 15:26:07 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 117, 页码: 3, 页大小: 20
2026-05-06 15:26:24 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看用户列表 | Details: 获取了 2 个用户，偏移量: 0, 限制: 100
2026-05-06 15:26:24 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看预约列表 | Details: 获取了 3 个预约，偏移量: 0, 限制: 100，查看所有预约
2026-05-06 15:26:28 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 取消预约 | Details: 预约ID: 3, 会议室: 1, 时间: 2026-05-06 15:30:00 - 2026-05-06 16:30:00
2026-05-06 15:26:28 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看用户列表 | Details: 获取了 2 个用户，偏移量: 0, 限制: 100
2026-05-06 15:26:28 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看预约列表 | Details: 获取了 3 个预约，偏移量: 0, 限制: 100，查看所有预约
2026-05-06 15:26:29 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志类型 | Details: 获取可用日志类型: ['action', 'error', 'access']
2026-05-06 15:26:29 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 124, 页码: 0, 页大小: 20
2026-05-06 15:26:31 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 125, 页码: 6, 页大小: 20
2026-05-06 15:26:49 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 126, 页码: 6, 页大小: 20
2026-05-06 15:26:49 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 127, 页码: 6, 页大小: 20
2026-05-06 15:26:50 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 128, 页码: 6, 页大小: 20
2026-05-06 15:26:50 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 129, 页码: 6, 页大小: 20
2026-05-06 15:26:51 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 130, 页码: 6, 页大小: 20
2026-05-06 15:26:53 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 131, 页码: 6, 页大小: 20
2026-05-06 15:26:53 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 132, 页码: 6, 页大小: 20
2026-05-06 15:26:56 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 133, 页码: 6, 页大小: 20
